close,return,realreturn,direction,future_direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
247.23,0.002267666,0.56,1,-1,2,1,1,1,2,0.56,1,0.56,83.11461067
246.9,-0.001335681,-0.33,-1,-1,2,2,1,1,1,0.33,0,0,79.78533095
246.84,-0.000243043,-0.06,-1,1,1,2,2,1,1,0.06,0,0,75.24012807
247.37,0.002144838,0.53,1,-1,1,1,2,2,1,0.53,1,0.53,77.26809378
247.31,-0.000242581,-0.06,-1,1,2,1,1,2,2,0.06,0,0,71.62329616
248.15,0.003390792,0.84,1,1,1,2,1,1,2,0.84,1,0.84,69.34404284
248.67,0.002093314,0.52,1,-1,2,1,2,1,1,0.52,1,0.52,71.23115578
246.86,-0.007305342,-1.81,-1,1,2,2,1,2,1,1.81,0,0,53.51473923
248.9,0.008229835,2.04,1,-1,1,2,2,1,2,2.04,1,2.04,61.28423041
248.51,-0.001568123,-0.39,-1,-1,3,1,2,2,1,0.39,0,0,55.50049554
248.12,-0.001570586,-0.39,-1,1,1,3,1,2,2,0.39,0,0,55.39070227
248.18,0.000241789,0.06,1,1,1,1,3,1,2,0.06,1,0.06,59.64172813
250.38,0.008825474,2.2,1,-1,2,1,1,3,1,2.2,1,2.2,72.11009174
250.36,-7.99E-05,-0.02,-1,-1,3,2,1,1,3,0.02,0,0,68.80733945
249.95,-0.001638984,-0.41,-1,-1,1,3,2,1,1,0.41,0,0,64.07867495
249.11,-0.003366332,-0.84,-1,1,1,1,3,2,1,0.84,0,0,60.86529007
249.36,0.001003069,0.25,1,-1,1,1,1,3,2,0.25,1,0.25,62.16216216
248.02,-0.005388247,-1.34,-1,-1,2,1,1,1,3,1.34,0,0,52.90957923
247.45,-0.002300847,-0.57,-1,-1,1,2,1,1,1,0.57,0,0,50.59931507
243.15,-0.017530005,-4.3,-1,-1,1,1,2,1,1,4.3,0,0,33.48745046
240.63,-0.010418053,-2.52,-1,1,0,1,1,2,1,2.52,0,0,26.54609102
241.03,0.001660923,0.4,1,-1,0,0,1,1,2,0.4,1,0.4,31.46853147
240.89,-0.000581009,-0.14,-1,1,2,0,0,1,1,0.14,0,0,21.04121475
241.72,0.003439634,0.83,1,1,1,2,0,0,1,0.83,1,0.83,26.20882971
242.84,0.004622759,1.12,1,-1,2,1,2,0,0,1.12,1,1.12,32.4
241,-0.007605857,-1.84,-1,1,2,2,1,2,0,1.84,0,0,28.60548272
241.46,0.001906894,0.46,1,-1,1,2,2,1,2,0.46,1,0.46,20.34574468
240.16,-0.00539846,-1.3,-1,1,2,1,2,2,1,1.3,0,0,18.75
243.86,0.015288922,3.7,1,-1,1,2,1,2,2,3.7,1,3.7,34.47220806
239.03,-0.020005223,-4.83,-1,1,3,1,2,1,2,4.83,0,0,28.6440678
239.72,0.002882509,0.69,1,-1,0,3,1,2,1,0.69,1,0.69,29.95008319
237.92,-0.007537093,-1.8,-1,-1,2,0,3,1,2,1.8,0,0,29.3877551
234.75,-0.013413365,-3.17,-1,-1,1,2,0,3,1,3.17,0,0,26.56826568
231.87,-0.012344248,-2.88,-1,-1,0,1,2,0,3,2.88,0,0,28.03738318
225.72,-0.026881577,-6.15,-1,1,0,0,1,2,0,6.15,0,0,24.56499488
226.3,0.00256626,0.58,1,1,0,0,0,1,2,0.58,1,0.58,25.02543235
228.31,0.008842802,2.01,1,-1,2,0,0,0,1,2.01,1,2.01,29.94260204
226.75,-0.006856266,-1.56,-1,1,3,2,0,0,0,1.56,0,0,26.67497663
229.79,0.013317759,3.04,1,1,1,3,2,0,0,3.04,1,3.04,30.81446633
